Model,Added block,Parameter,Beta,SE,OR,OR 95% CI lower,OR 95% CI upper,p-value,p-value label,Significance
M5,직무 디지털 역량,C(country_fe)[T.RO],-0.8308146988540187,0.02631642591644615,0.43569418213880035,0.41379113145838337,0.4587566187814493,9.4737268436388e-219,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.SE],-0.9238492471212203,0.05056278471268181,0.39698799139759333,0.35953257854098797,0.43834543716023433,1.4000071635086116e-74,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.SI],-0.4859214206918888,0.020127130222111787,0.615130141915404,0.5913366056281035,0.6398810557160648,8.928351844719139e-129,< .001,***
M5,직무 디지털 역량,C(country_fe)[T.SK],-0.3865710755628141,0.019250747217215394,0.6793824361695489,0.65422637597447,0.7055057874855273,1.0855505106136873e-89,< .001,***
M5,직무 디지털 역량,C(gender)[T.2],0.08865362296459667,0.04754452657666537,1.0927021038538616,0.9954783169422488,1.199421290695901,0.06223130115482411,0.062,
M5,직무 디지털 역량,C(gender)[T.3],0.9762323867114723,0.5247776828812007,2.6544364883165086,0.9490318003328846,7.4244435940235025,0.06284620221851876,0.063,
M5,직무 디지털 역량,C(occupation_code)[T.11],0.14670184103436112,0.1593106895688674,1.1580086408933983,0.847434801667323,1.582403755127117,0.357126804053277,0.357,
M5,직무 디지털 역량,C(occupation_code)[T.12],0.09448667866747393,0.11787861167518975,1.099094521631868,0.8723616936620914,1.3847567772148255,0.4228080209588392,0.423,
M5,직무 디지털 역량,C(occupation_code)[T.13],-0.14766336547619247,0.11233318538995095,0.8627214879017802,0.6922332157866935,1.0751988617616526,0.1886738269399154,0.189,
M5,직무 디지털 역량,C(occupation_code)[T.14],-0.23494956167346387,0.1597415506891436,0.7906107257050319,0.5780833319031964,1.0812719985230577,0.14134235234435352,0.141,
M5,직무 디지털 역량,C(occupation_code)[T.15],-0.13695183876208958,0.14224397569618527,0.8720122223089068,0.6598485710138219,1.1523936691835164,0.3356502333490854,0.336,
M5,직무 디지털 역량,C(occupation_code)[T.16],-0.39524245062177815,0.2389016903851168,0.6735167249031045,0.4216915486293776,1.07572651194604,0.09804329683743883,0.098,
M5,직무 디지털 역량,C(occupation_code)[T.17],-0.4544761953539807,0.14909254621233484,0.634780381793855,0.4739316261628227,0.8502199702788291,0.002301534737379024,0.002,**
M5,직무 디지털 역량,C(occupation_code)[T.18],-1.083865231020651,0.20838965547921373,0.3382854439999015,0.22485456793144115,0.508938033480835,1.9806236746900373e-07,< .001,***
M5,직무 디지털 역량,C(workplace_size)[T.2],-0.44131062732336,0.22893550063486567,0.6431928822556973,0.41064919736301686,1.0074221170793618,0.05389698463010496,0.054,
M5,직무 디지털 역량,C(workplace_size)[T.3],-0.19542995741309654,0.23019413775477138,0.8224809502401321,0.5238226129570533,1.2914198371259948,0.3958930537288732,0.396,
M5,직무 디지털 역량,C(workplace_size)[T.4],-0.0682050607176245,0.23519307290129476,0.9340689130954898,0.5890907614745963,1.4810701363358831,0.7718192640591167,0.772,
M5,직무 디지털 역량,C(workplace_size)[T.5],-0.17045914760946337,0.22351269637076987,0.8432775388282895,0.5441469267890298,1.306847420215245,0.4456796574919366,0.446,
M5,직무 디지털 역량,public_sector,-0.22669005917000584,0.08252381092733707,0.7971678188602245,0.6781181413419509,0.9371177272573796,0.0060149466575214324,0.006,**
M5,직무 디지털 역량,age,-0.003181828817768121,0.002322481037074218,0.9968232278349884,0.9922960209412715,1.0013710894545391,0.17068289673533388,0.171,
M5,직무 디지털 역량,education_age,-0.004060004933555419,0.0064867444790374955,0.9959482257438436,0.9833661062426702,1.008691332826485,0.5313854324781175,0.531,
M5,직무 디지털 역량,digital_skill_job,0.43801582873171113,0.052954778379733614,1.5496294358939735,1.3968593152468596,1.7191075453183315,1.322760798441061e-16,< .001,***
